x,y
6.8866,-5.70251
6.89636,-5.70463
6.90136,-5.70469
6.90636,-5.70473
6.91136,-5.70476
6.91635,-5.70478
6.92135,-5.70481
6.92635,-5.70483
6.93135,-5.70484
6.93635,-5.70486
6.94135,-5.70487
6.94635,-5.70489
6.95135,-5.7049
6.95635,-5.70492
6.96135,-5.70493
6.96635,-5.70494
6.97135,-5.70496
6.97635,-5.70497
6.98135,-5.70499
6.98635,-5.705
6.99135,-5.70502
6.99635,-5.70504
7.00135,-5.70505
7.00635,-5.70507
7.01135,-5.70509
7.01635,-5.70511
7.02135,-5.70513
7.02635,-5.70515
7.03133,-5.70465
7.03631,-5.7042
7.04129,-5.70378
7.04628,-5.7034
7.05126,-5.70304
7.05625,-5.70272
7.06124,-5.70242
7.06624,-5.70215
7.07123,-5.70189
7.07622,-5.70165
7.08122,-5.70143
7.08622,-5.70122
7.09121,-5.70103
7.09621,-5.70085
7.10121,-5.70068
7.1062,-5.70052
7.1112,-5.70038
7.1162,-5.70024
7.1212,-5.70011
7.1262,-5.69998
7.13119,-5.69987
7.13619,-5.69976
7.14119,-5.69965
7.14619,-5.69956
7.15119,-5.69947
7.15619,-5.69938
7.16119,-5.6993
7.16619,-5.69922
7.17119,-5.69914
7.17619,-5.69907
7.18119,-5.69901
7.18619,-5.69895
7.19119,-5.69889
7.19619,-5.69883
7.20119,-5.69877
7.20619,-5.69872
7.21119,-5.69867
7.21619,-5.69863
7.22118,-5.69858
7.22618,-5.69854
7.23118,-5.6985
7.23618,-5.69846
7.24118,-5.69843
7.24618,-5.69839
7.25118,-5.69836
7.25618,-5.69833
7.26118,-5.6983
7.26618,-5.69827
7.27118,-5.69824
7.27618,-5.69821
7.28118,-5.69819
7.28618,-5.69817
7.29118,-5.69814
7.29618,-5.69812
7.30118,-5.6981
7.30618,-5.69808
7.31118,-5.69806
7.31618,-5.69804
7.32118,-5.69803
7.32618,-5.69801
7.33118,-5.69799
7.33618,-5.69798
7.34118,-5.69796
7.34618,-5.69795
7.35118,-5.69794
7.35618,-5.69792
7.36118,-5.69791
7.36618,-5.6979
7.37118,-5.69789
7.37618,-5.69788
7.38118,-5.69787
7.38618,-5.69786
7.39118,-5.69785
7.39618,-5.69784
7.40118,-5.69783
7.40618,-5.69782
7.41118,-5.69782
7.41618,-5.69781
7.42118,-5.6978
7.42618,-5.69779
7.43118,-5.69779
7.43618,-5.69778
7.44118,-5.69777
7.44618,-5.69777
7.45118,-5.69776
7.45618,-5.69776
7.46118,-5.69775
7.46618,-5.69775
7.47118,-5.69774
7.47618,-5.69774
7.48118,-5.69774
7.48618,-5.69773
7.49118,-5.69773
7.49618,-5.69772
7.50118,-5.69772
7.50618,-5.69772
7.51118,-5.69771
7.51618,-5.69771
7.52118,-5.69771
7.52618,-5.6977
7.53118,-5.6977
7.53618,-5.6977
7.54118,-5.6977
7.54618,-5.69769
7.55118,-5.69769
7.55618,-5.69769
7.56118,-5.69769
7.56618,-5.69769
7.57118,-5.69768
7.57618,-5.69768
7.58118,-5.69768
7.58618,-5.69768
7.59118,-5.69768
7.59618,-5.69768
7.60118,-5.69767
7.60618,-5.69767
7.61118,-5.69767
7.61618,-5.69767
7.62118,-5.69767
7.62618,-5.69767
7.63118,-5.69767
7.63618,-5.69767
7.64118,-5.69766
7.64618,-5.69766
7.65118,-5.69766
7.65618,-5.69766
7.66118,-5.69766
7.66618,-5.69766
7.67118,-5.69766
7.67618,-5.69766
7.68118,-5.69766
7.68618,-5.69766
7.69118,-5.69766
7.69618,-5.69766
7.70118,-5.69765
7.70618,-5.69765
7.71118,-5.69765
7.71618,-5.69765
7.72118,-5.69765
7.72618,-5.69765
7.73118,-5.69765
7.73618,-5.69765
7.74118,-5.69765
7.74618,-5.69765
7.75118,-5.69765
7.75618,-5.69765
7.76118,-5.69765
7.76618,-5.69765
7.77118,-5.69765
7.77618,-5.69765
7.78118,-5.69765
7.78618,-5.69765
7.79118,-5.69765
7.79618,-5.69765
7.80118,-5.69765
7.80618,-5.69765
7.81118,-5.69765
7.81618,-5.69765
7.82118,-5.69765
7.82618,-5.69765
7.83118,-5.69765
7.83618,-5.69765
7.84118,-5.69765
7.84618,-5.69765
7.85118,-5.69765
7.85618,-5.69765
7.86118,-5.69765
7.86618,-5.69765
7.87118,-5.69765
7.87618,-5.69764
7.88118,-5.69764
7.88618,-5.69764
7.89118,-5.69764
7.89618,-5.69764
7.90118,-5.69764
7.90618,-5.69764
7.91118,-5.69764
7.91618,-5.69764
7.92118,-5.69764
7.92618,-5.69764
7.93118,-5.69764
7.93618,-5.69764
7.94118,-5.69764
7.94618,-5.69764
7.95118,-5.69764
7.95618,-5.69764
7.96118,-5.69764
7.96618,-5.69764
7.97118,-5.69764
7.97618,-5.69764
7.98118,-5.69764
7.98618,-5.69764
7.99118,-5.69764
7.99618,-5.69764
8.00118,-5.69764
8.00618,-5.69764
8.01118,-5.69763
8.01618,-5.69763
8.02118,-5.69763
8.02618,-5.69763
8.03118,-5.69763
8.03618,-5.69763
8.04118,-5.69763
8.04618,-5.69762
8.05118,-5.69762
8.05618,-5.69762
8.06118,-5.69762
8.06618,-5.69761
8.07118,-5.69761
8.07618,-5.6976
8.08118,-5.6976
8.08618,-5.69759
8.09118,-5.69759
8.09618,-5.69758
8.10118,-5.69757
8.10618,-5.69757
8.11118,-5.69756
8.11618,-5.69755
8.12118,-5.69753
8.12618,-5.69752
